IDClt;nomClt;prenomClt;adresseClt;villeClt;etatClt;depClt;regClt;telClt;adresseCmpltClt;regionClt;paysClt
111;Barre;…milie;4, rue Dominique Philippe;Pouliacq;;80;32;+33 0466284230;4, rue Dominique Philippe Pouliacq;Occitanie;FRANCE
112;Vincent;Alice;65, rue Denise Barre;Lescar;;8;44;+33 0218280982;65, rue Denise Barre Lescar;Pays de la Loire;FRANCE
113;Mathieu;Virginie;27, boulevard de Gaudin;MÈracq;;10;44;+33 0219173996;27, boulevard de Gaudin MÈracq;Pays de la Loire;FRANCE
114;Duhamel;Caroline;84, chemin de Bouchet;CarrËre;;51;44;+33 0759275666;84, chemin de Bouchet CarrËre;Pays de la Loire;FRANCE
115;Blot;Philippine;8, boulevard de LefËvre;Lespielle;;52;44;+33 0153437395;8, boulevard de LefËvre Lespielle;Pays de la Loire;FRANCE
116;Paris;GeneviËve;47, rue Fernandez;Saint-Gondon;;54;44;+33 0234042681;47, rue Fernandez Saint-Gondon;Pays de la Loire;FRANCE
117;Lefort;Monique;5, rue Muller;Bonny-sur-Loire;;55;44;+33 0176597147;5, rue Muller Bonny-sur-Loire;Pays de la Loire;FRANCE
118;Giraud;ClÈmence;30, rue de Richard;Barlieu;;57;44;+33 0524930184;30, rue de Richard Barlieu;Pays de la Loire;FRANCE
119;Baudry;Anne;47, boulevard Victor Le Roux;Saint-Brisson-sur-Loire;;67;44;+33 0581924410;47, boulevard Victor Le Roux Saint-Brisson-sur-Loire;Pays de la Loire;FRANCE
120;Rodrigues;Mathilde;8, boulevard Langlois;Ousson-sur-Loire;;68;44;+33 0175428818;8, boulevard Langlois Ousson-sur-Loire;Pays de la Loire;FRANCE
121;Le Gall;Lorraine;129, rue de Perrin;Ch‚tillon-sur-Loire;;88;44;+33 0458438399;129, rue de Perrin Ch‚tillon-sur-Loire;Pays de la Loire;FRANCE
122;Clerc;AndrÈ;18, avenue Victor Delattre;Lion-en-Sullias;;44;52;+33 0385339600;18, avenue Victor Delattre Lion-en-Sullias;Grand Est;FRANCE
123;Boyer;InËs;rue Nathalie Roy;Belleville-sur-Loire;;49;52;+33 0361046201;rue Nathalie Roy Belleville-sur-Loire;Grand Est;FRANCE
124;Legrand;Josette;chemin Arthur Blanc;Saint-Florent;;53;52;+33 0517436512;chemin Arthur Blanc Saint-Florent;Grand Est;FRANCE
125;Pierre;Daniel;331, rue Duval;Santranges;;72;52;+33 0561171127;331, rue Duval Santranges;Grand Est;FRANCE
126;Blanchard;Franck;rue Arnaude Carre;Nevoy;;85;52;+33 0214347886;rue Arnaude Carre Nevoy;Grand Est;FRANCE
127;Launay;Hugues;avenue Laure Charpentier;Poilly-lez-Gien;;22;53;+33 0354146710;avenue Laure Charpentier Poilly-lez-Gien;Pays de la Loire;FRANCE
128;Meyer;Georges;990, chemin Lemonnier;Saint-Martin-sur-Ocre;;29;53;+33 0495233058;990, chemin Lemonnier Saint-Martin-sur-Ocre;Pays de la Loire;FRANCE
129;Klein;Christine;chemin de Boyer;Beaulieu-sur-Loire;;35;53;+33 0619570098;chemin de Boyer Beaulieu-sur-Loire;Pays de la Loire;FRANCE
130;Ollivier;Madeleine;7, avenue Jourdan;Les Choux;;56;53;+33 0257850842;7, avenue Jourdan Les Choux;Pays de la Loire;FRANCE
131;Legendre;Antoine;67, chemin Adrien Gaillard;Autry-le-Ch‚tel;;16;75;+33 0536301266;67, chemin Adrien Gaillard Autry-le-Ch‚tel;Œle-de-France;FRANCE
132;Leconte;Thibaut;11, rue de Masse;Cernoy-en-Berry;;17;75;+33 0230815826;11, rue de Masse Cernoy-en-Berry;Œle-de-France;FRANCE
133;Gilles;StÈphanie;8, rue de Verdier;Sury-prËs-LÈrÈ;;19;75;+33 0388558620;8, rue de Verdier Sury-prËs-LÈrÈ;Œle-de-France;FRANCE
134;Boulay;ThÈodore;337, avenue de Aubert;Saint-Firmin-sur-Loire;;23;75;+33 0156500894;337, avenue de Aubert Saint-Firmin-sur-Loire;Œle-de-France;FRANCE
135;Royer;Odette;79, rue Anne Royer;Dammartin-en-GoÎle;;24;75;+33 0139136925;79, rue Anne Royer Dammartin-en-GoÎle;Œle-de-France;FRANCE
136;Boulanger;StÈphanie;84, chemin CÈline Meyer;Longperrier;;33;75;+33 0298368656;84, chemin CÈline Meyer Longperrier;Œle-de-France;FRANCE
137;Menard;Margot;291, rue Fischer;Briord;;40;75;+33 0695949921;291, rue Fischer Briord;Œle-de-France;FRANCE
138;Thierry;Gabrielle;71, avenue Monique Legrand;Montalieu-Vercieu;;47;75;+33 0474770250;71, avenue Monique Legrand Montalieu-Vercieu;Œle-de-France;FRANCE
139;Hamel;Henriette;2, rue Brigitte Jourdan;Villebois;;64;75;+33 0329817686;2, rue Brigitte Jourdan Villebois;Œle-de-France;FRANCE
140;Gallet;SÈbastien;472, rue de Cohen;Montagnieu;;79;75;+33 0619542842;472, rue de Cohen Montagnieu;Œle-de-France;FRANCE
141;Fontaine;Alexandre;51, rue FrÈdÈrique Dos Santos;Porcieu-Amblagnieu;;86;75;+33 0499970078;51, rue FrÈdÈrique Dos Santos Porcieu-Amblagnieu;Œle-de-France;FRANCE
142;Becker;Patricia;chemin …lisabeth Ribeiro;Arandon-Passins;;87;75;+33 0606748587;chemin …lisabeth Ribeiro Arandon-Passins;Œle-de-France;FRANCE
143;Goncalves;Paul;boulevard Durand;Creys-MÈpieu;;9;76;+33 0465024299;boulevard Durand Creys-MÈpieu;Normandie;FRANCE
144;Marie;Michelle;12, rue Jacquet;Charette;;11;76;+33 0179312315;12, rue Jacquet Charette;Normandie;FRANCE
145;Gonzalez;Diane;390, chemin de Roger;Sault-BrÈnaz;;12;76;+33 0488470282;390, chemin de Roger Sault-BrÈnaz;Normandie;FRANCE
146;Michel;Georges;boulevard de Marchand;Bouvesse-Quirieu;;30;76;+33 0449767862;boulevard de Marchand Bouvesse-Quirieu;Normandie;FRANCE
147;Berthelot;RÈmy;38, rue Alves;Aleyrac;;31;76;+33 0383504415;38, rue Alves Aleyrac;Normandie;FRANCE
148;Thierry;…lisabeth;61, avenue Margaud Meyer;Grignan;;32;76;+33 0276396752;61, avenue Margaud Meyer Grignan;Normandie;FRANCE
149;Aubry;Anouk;45, rue Jeanne Reynaud;Allan;;34;76;+33 0355735741;45, rue Jeanne Reynaud Allan;Normandie;FRANCE
150;Ribeiro;Julie;99, chemin Audrey Monnier;Grillon;;46;76;+33 0619122501;99, chemin Audrey Monnier Grillon;Normandie;FRANCE
